,Swear
2,anal
3,anus
4,arrse
5,arse
6,ass
7,asses
8,assfukka
9,asshole
10,assholes
11,asswhole
12,ass
13,ballbag
14,balls
15,ballsack
16,bastard
17,beastial
18,bellend
19,bestial
20,biatch
21,bitch
22,bitcher
23,bitchers
24,bitches
25,bitchin
26,bitching
27,bloody
28,blow job
29,blowjob
30,blowjobs
31,boiolas
32,bollock
33,bollok
34,boner
35,boob
36,boobs
37,booobs
38,boooobs
39,booooobs
40,breasts
41,buceta
42,bugger
43,bum
44,butt
45,butthole
46,buttmuch
47,buttplug
48,cawk
49,chink
50,cipa
51,clit
52,clitoris
53,clits
54,cnut
55,cock
56,cockface
57,cockhead
58,cocks
59,cocksuck
60,cocksuka
61,cok
62,coksucka
63,coon
64,cox
65,crap
66,cum
67,cummer
68,cumming
69,cums
70,cumshot
71,cunt
72,cuntlick
73,cunts
74,cyalis
75,cyberfuc
76,damn
77,dick
78,dickhead
79,dildo
80,dildos
81,dink
82,dinks
83,dirsa
84,dlck
85,doggin
86,dogging
87,doosh
88,duche
89,dyke
90,f u c k
91,fag
92,fagging
93,faggitt
94,faggot
95,faggs
96,fagot
97,fagots
98,fags
99,fanny
100,fanyy
101,fatass
102,fcuk
103,fcuker
104,fcuking
105,feck
106,fecker
107,felching
108,fellate
109,fellatio
110,fistfuck
111,flange
112,fook
113,fooker
114,fuck
115,fucka
116,fucked
117,fucker
118,fuckers
119,fuckhead
120,fuckin
121,fucking
122,fuckings
123,fuckme
124,fucks
125,fuckwhit
126,fuckwit
127,fuk
128,fuker
129,fukker
130,fukkin
131,fuks
132,fukwhit
133,fukwit
134,fux
135,gangbang
136,gaylord
137,gaysex
138,goatse
139,goddamn
140,hell
141,heshe
142,hoar
143,hoare
144,hoer
145,homo
146,hore
147,horniest
148,horny
149,hotsex
150,jackoff
151,jap
152,jism
153,jiz
154,jizm
155,jizz
156,kawk
157,knob
158,knobead
159,knobed
160,knobend
161,knobhead
162,kock
163,kondum
164,kondums
165,kum
166,kummer
167,kumming
168,kums
169,labia
170,lmfao
171,lust
172,lusting
173,masterb8
174,mofo
175,muff
176,mutha
177,muther
178,nazi
179,nigga
180,niggah
181,niggas
182,niggaz
183,nigger
184,niggers
185,nob
186,nobhead
187,nobjocky
188,nobjokey
189,numbnuts
190,nutsack
191,orgasim
192,orgasims
193,orgasm
194,orgasms
195,pawn
196,pecker
197,penis
198,phonesex
199,phuck
200,phuk
201,phuked
202,phuking
203,phukked
204,phukking
205,phuks
206,phuq
207,pimpis
208,piss
209,pissed
210,pisser
211,pissers
212,pisses
213,pissin
214,pissing
215,pissoff
216,poop
217,porn
218,porno
219,pornos
220,prick
221,pricks
222,pron
223,pube
224,pusse
225,pussi
226,pussies
227,pussy
228,pussys
229,rectum
230,retard
231,rimjaw
232,rimming
233,s hit
234,s.o.b.
235,sadist
236,schlong
237,screwing
238,scroat
239,scrote
240,scrotum
241,semen
242,sex
243,sh!t
244,shag
245,shagger
246,shaggin
247,shagging
248,shemale
249,shit
250,shitdick
251,shite
252,shited
253,shitey
254,shitfuck
255,shitfull
256,shithead
257,shiting
258,shitings
259,shits
260,shitted
261,shitter
262,shitters
263,shitting
264,shitty
265,skank
266,slut
267,sluts
268,smegma
269,smut
270,snatch
271,spac
272,spunk
273,s_h_i_t
274,teets
275,teez
276,testical
277,testicle
278,tit
279,titfuck
280,tits
281,titt
282,titties
283,titwank
284,tosser
285,turd
286,twat
287,twathead
288,twatty
289,twunt
290,twunter
291,vagina
292,viagra
293,vulva
294,wang
295,wank
296,wanker
297,wanky
298,whoar
299,whore
300,willies
301,willy
302,xrated
303,xxx
304,bollocks
305,godsdamn
306,Jesus
307,shit ass
308,shitass
309,apeshit
310,arsehole
311,assmunch
312,babeland
313,ball gag
314,bangbros
315,bareback
316,bastardo
317,bbw
318,bdsm
319,beaner
320,beaners
321,big tits
322,bimbos
323,birdlock
324,blumpkin
325,bondage
326,bukkake
327,bulldyke
328,bullshit
329,bunghole
330,busty
331,camgirl
332,camslut
333,camwhore
334,cornhole
335,coons
336,creampie
337,darkie
338,daterape
339,dolcett
340,dommes
341,dry hump
342,dvda
343,ecchi
344,erotic
345,erotism
346,escort
347,eunuch
348,fecal
349,felch
350,feltch
351,femdom
352,figging
353,fisting
354,footjob
355,frotting
356,futanari
357,gay sex
358,genitals
359,girl on
360,goatcx
361,god damn
362,gokkun
363,goodpoop
364,goo girl
365,goregasm
366,grope
367,guro
368,hand job
369,handjob
370,hardcore
371,hentai
372,honkey
373,hooker
374,hot carl
375,huge fat
376,humping
377,incest
378,jack off
379,jailbait
380,jerk off
381,jigaboo
382,jiggaboo
383,juggs
384,kike
385,kinbaku
386,kinkster
387,kinky
388,knobbing
389,lolita
390,milf
391,mr hands
392,nambla
393,nawashi
394,negro
395,neonazi
396,nig nog
397,nipple
398,nipples
399,nude
400,nudity
401,nympho
402,omorashi
403,orgy
404,paki
405,panties
406,panty
407,pedobear
408,pegging
409,piss pig
410,pisspig
411,playboy
412,ponyplay
413,poof
414,poon
415,poontang
416,punany
417,pthc
418,pubes
419,queaf
420,queef
421,quim
422,raghead
423,rape
424,raping
425,rapist
426,rimjob
427,sadism
428,santorum
429,scat
430,sexo
431,sexy
432,shibari
433,shota
434,skeet
435,slanteye
436,s&m
437,sodomize
438,sodomy
439,spic
440,splooge
441,spooge
442,strap on
443,strapon
444,suck
445,sucks
446,swastika
447,swinger
448,taste my
449,tied up
450,titty
451,topless
452,tranny
453,tub girl
454,tubgirl
455,tushy
456,twink
457,twinkie
458,upskirt
459,vibrator
460,voyeur
461,wetback
462,xx
463,yaoi
464,yiffy
465,asswipe
466,ho
467,bitchass
468,trumped
469,assbag
470,assbite
471,assclown
472,asscock
473,assface
474,assfuck
475,asshat
476,asshead
477,asslick
478,assshit
479,assshole
480,asswad
481,axwound
482,bampot
483,bitchy
484,bollox
485,chinc
486,choad
487,chode
488,clitface
489,clitfuck
490,cockass
491,cockbite
492,cocknose
493,cockshit
494,coochie
495,coochy
496,cooter
497,cracker
498,cumslut
499,cumtart
500,cunnie
501,cuntass
502,cuntface
503,cunthole
504,cuntrag
505,cuntslut
506,dago
507,deggo
508,dickbag
509,dickface
510,dickfuck
511,dickhole
512,dicks
513,dickslap
514,dickwad
515,dickweed
516,dickwod
517,dike
518,dipshit
519,doochbag
520,dookie
521,douche
522,dumass
523,dumb ass
524,dumbass
525,dumbfuck
526,dumbshit
527,dumshit
528,fagbag
529,faggit
530,fagtard
531,flamer
532,fuckass
533,fuckbag
534,fuckboy
535,fuckbutt
536,fuckface
537,fuckhole
538,fucknut
539,fucknutt
540,fuckoff
541,fucktard
542,fucktart
543,fuckup
544,fuckwad
545,fuckwitt
546,gay
547,gayass
548,gaybob
549,gaydo
550,gayfuck
551,gaytard
552,gaywad
553,gooch
554,gook
555,gringo
556,guido
557,hard on
558,heeb
559,hoe
560,jackass
561,jagoff
562,jerkass
563,kooch
564,kootch
565,kraut
566,kunt
567,kyke
568,lameass
569,lardass
570,lesbian
571,lesbo
572,lezzie
573,mcfagget
574,mick
575,minge
576,munging
577,nigaboo
578,niglet
579,nut sack
580,panooch
581,pollock
582,poonani
583,poonany
584,punanny
585,punta
586,puto
587,queer
588,renob
589,ruski
590,shitbag
591,shitcunt
592,shitface
593,shithole
594,shiz
595,shiznit
596,slutbag
597,smeg
598,spick
599,spook
600,suckass
601,tard
602,twatlips
603,twats
604,vag
605,vajayjay
606,vjayjay
607,wankjob
608,whorebag
609,wop
610,fuck you
611,piss off
612,crikey
613,rubbish
614,jerk
615,knob end
616,lmao
617,omg
618,wtf
619,bint
620,ginger
621,git
622,minger
623,munter
624,sod off
625,chinky
626,choc ice
627,gippo
628,golliwog
629,hun
630,iap
631,jock
632,pikey
633,polack
634,sambo
635,slope
636,spade
637,taff
638,wog
639,beaver
640,clunge
641,flaps
642,gash
643,punani
644,bender
645,bum boy
646,bumclat
647,bummer
648,pansy
649,cretin
650,cripple
651,div
652,looney
653,midget
654,mong
655,nutter
656,psycho
657,schizo
658,veqtable
659,fenian
660,kafir
661,prod
662,taig
663,yid
664,nonce
665,rapey
666,slag
667,tart
668,old bag
669,buncombe
670,feist
671,fice
672,assfaces
673,bastards
674,faggots
675,fuc
676,fuck   
677,fuckedup
678,fuckme 
679,fukkers
680,fuq
681,god
682,jiz 
683,jizm 
684,kwif   
685,LEN
686,pisses 
687,pissin 
688,pissoff 
689,queaf   
690,shittier
691,slope   
692,smartass
693,tities
694,wiseass
695,boong
696,coonnass
697,darn
698,Breeder
699,Cocklump
700,Dumbcunt
701,Fuck off
702,Sandler
703,cockeye
704,crotte
705,cus
706,foah
707,fucktwat
708,jaggi
709,kunja
710,pust
711,sanger
712,seks
713,zubb
714,zibbi
